,Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 66
3041,China,Urban population,SP.URB.TOTL,108085352.0,110327936.0,114685540.0,121162226.0,127791981.0,129348359.0,131746910.0,134196718.0,136747486.0,139527262.0,142386810.0,145443877.0,148131235.0,151552570.0,155688522.0,159452730.0,162497601.0,165293316.0,171153535.0,180399661.0,189947471.0,199949784.0,210823843.0,220472140.0,230206255.0,240414890.0,251325056.0,262976051.0,275121076.0,287504237.0,300165618.0,314301034.0,328521540.0,342961393.0,357836540.0,373035157.0,388593258.0,404485562.0,420606126.0,436766058.0,452999147.0,471767321.0,491993700.0,512473984.0,533257098.0,554367818.0,575118254.0,595670841.0,616481190.0,637407288.0,658498663.0,679390629.0,700996454.0,722694421.0,744357517.0,765822300.0,787376534.0,809246214.0,829760595.0,848982855.0,866810508.0,882894483.0,0.0
3043,China,"Population, total",SP.POP.TOTL,667070000.0,660330000.0,665770000.0,682335000.0,698355000.0,715185000.0,735400000.0,754550000.0,774510000.0,796025000.0,818315000.0,841105000.0,862030000.0,881940000.0,900350000.0,916395000.0,930685000.0,943455000.0,956165000.0,969005000.0,981235000.0,993885000.0,1008630000.0,1023310000.0,1036825000.0,1051040000.0,1066790000.0,1084035000.0,1101630000.0,1118650000.0,1135185000.0,1150780000.0,1164970000.0,1178440000.0,1191835000.0,1204855000.0,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0,1412360000.0,0.0
3048,China,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,112.8,107.1,101.4,95.9,90.3,84.8,79.5,74.5,70.1,66.1,62.7,59.9,57.7,56.0,54.8,54.1,53.8,53.8,53.9,53.9,53.6,53.1,52.1,50.8,49.2,47.4,45.5,43.5,41.4,39.1,36.7,34.1,31.5,28.9,26.3,24.0,22.0,20.1,18.5,17.1,15.8,14.6,13.5,12.5,11.6,10.7,9.9,9.2,8.6,8.0,7.4,6.9,0.0
3058,China,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.7,452.0825,460.465,468.8475,477.23,481.06,484.848,488.636,492.424,496.212,500.0,508.4666666667,516.9333333333,525.4,529.0428571429,532.6857142857,536.3285714286,539.9714285714,543.6142857143,547.2571428571,550.9,551.54,552.18,552.82,553.46,554.1,568.0,568.7,576.1,583.2,586.83,595.0,598.8,602.8,593.4,591.8,591.8,591.8,591.8,591.8,0.0,0.0,0.0
3074,China,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240290.0,3387709.9609375,3516610.10742188,3746360.10742188,3905929.93164063,4309240.234375,4330229.98046875,4325689.94140625,4443770.01953125,4376500.0,4568810.05859375,4761560.05859375,5068779.78515625,5718040.0390625,6503950.1953125,7266529.78515625,7946140.13671875,8555799.8046875,8810969.7265625,9386580.078125,10218509.765625,11098190.4296875,11385459.9609375,11878030.2734375,11938030.2734375,11818469.7265625,11800830.078125,12035269.53125,12471089.84375,12705089.84375,0.0,0.0,0.0
3078,China,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,748988.417,522903.199,412262.475,406457.614,401899.533,433347.725,470153.404,383912.898,413058.214,501586.928,666411.244,737030.33,771349.783,784385.968,776736.606,907380.815,911132.156,999426.182,1118361.66,1148489.732,1123583.468,1125923.014,1249878.615,1322925.255,1455388.296,1585808.818,1658745.448,1771718.384,1894247.522,1921808.694,1978302.496,2051598.492,2116449.387,2230570.094,2382537.908,2571857.784,2662579.364,2611692.405,2446772.747,2380440.384,2398390.349,2430843.299,2781045.466,3321997.639,3838428.583,4428012.51,4909390.601,4978938.923,5734164.907,5613696.623,6574171.931,7315771.343,7470918.446,7499587.052,7431146.164,7272926.115,6951652.911,0.0,0.0,0.0,0.0,0.0,0.0
3083,China,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,23010.425,22354.032,21781.98,23289.117,27751.856,35027.184,44583.386,42533.533,48690.426,66904.415,94722.277,120189.592,138440.251,158949.782,182722.943,204358.243,239180.075,257694.758,282223.321,278655.33,273426.188,256583.657,258021.121,263987.33,271673.362,284826.891,303315.905,321786.584,343410.883,354730.912,330561.715,356318.723,386109.431,428899.654,424059.214,468613.264,511040.454,558418.094,559719.879,597240.623,649216.681,659839.98,653620.748,727694.148,839779.67,850868.678,899269.411,904450.882,970911.59,952294.231,1093466.397,1124778.91,1177675.385,1235632.32,1264106.575,1328664.11,1336397.813,0.0,0.0,0.0,0.0,0.0,0.0
3084,China,CO2 emissions (kt),EN.ATM.CO2E.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173360.0,2302180.0,2418180.0,2645410.0,2767670.0,3088620.0,3070510.0,3134110.0,3236280.0,3153660.0,3346530.0,3529080.0,3810060.05859375,4415910.15625,5124819.82421875,5824629.8828125,6437470.21484375,6993180.17578125,7199600.09765625,7719069.82421875,8474919.921875,9282549.8046875,9541870.1171875,9984570.3125,10006669.921875,9861099.609375,9874660.15625,10096009.765625,10502929.6875,10707219.7265625,0.0,0.0,0.0
3087,China,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1994.848,2819.923,2324.878,1958.178,2031.518,2112.192,2570.567,2801.588,2687.911,3762.342,5507.834,7179.986,9288.511,11477.71,14451.647,16985.544,19383.762,23256.114,26307.058,27799.527,27341.152,24407.552,22918.75,23457.799,24246.204,24840.258,26373.064,26622.42,27333.818,28844.622,29324.999,30802.8,30263.751,35756.917,41602.115,42471.194,44506.379,44194.684,50542.261,54616.298,59845.44,67212.443,54036.912,60795.193,71579.84,85026.729,103838.439,135433.311,149796.95,171916.294,199748.824,246191.379,277826.588,320389.457,353880.168,366949.356,403091.308,0.0,0.0,0.0,0.0,0.0,0.0
3090,China,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.989347346645,163.911928819183,175.933736988911,174.233353695785,199.039715406566,204.030364731354,220.657053065594,246.555772277797,267.374265354668,281.624687256366,285.817775698396,299.197921933712,317.020257790894,336.411641308803,362.812071852641,391.351624968363,426.554493166734,461.797518222997,487.373173021052,510.619854913516,548.953753106589,604.693683099136,662.63704558569,727.107359659684,770.280241190849,821.080859102296,852.740686543503,870.617222318398,913.963447975829,992.943384720171,1076.54912135865,1194.85629490784,1379.48463210183,1585.83878247787,1782.31215291627,2039.0146603408,2325.92676902765,2446.36905458402,2612.45662004417,2943.58995443689,3295.78486805176,3466.01953935563,3757.18508846571,3905.31759800563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
